Stay,Date,Time of Day (given),Time of Day (guessed),Performance Type,Country,City,Subsidy
1,1941-05-27,evening,evening,,United States of America,New York City,
1,1941-05-29,evening,evening,,United States of America,New York City,
2,1941-06-25,evening,evening,subscription,Brazil,Rio de Janeiro,
2,1941-06-27,evening,evening,subscription,Brazil,Rio de Janeiro,
2,1941-06-28,evening,evening,subscription,Brazil,Rio de Janeiro,
2,1941-06-29,matinee,matinee,,Brazil,Rio de Janeiro,
2,1941-07-01,,evening,subscription,Brazil,Rio de Janeiro,
2,1941-07-03,matinee,matinee,,Brazil,Rio de Janeiro,
2,1941-07-04,,evening,extra,Brazil,Rio de Janeiro,
2,1941-07-05,,evening,extra,Brazil,Rio de Janeiro,
2,1941-07-06,matinee,matinee,,Brazil,Rio de Janeiro,
3,1941-07-08,,evening,subscription,Brazil,Sao Paulo,yes
3,1941-07-09,,evening,subscription,Brazil,Sao Paulo,yes
3,1941-07-10,,evening,extra,Brazil,Sao Paulo,yes
3,1941-07-11,,evening,subscription,Brazil,Sao Paulo,yes
4,1941-07-18,evening,evening,subscription,Argentina,Buenos Aires,no
4,1941-07-19,matinee,matinee,subscription,Argentina,Buenos Aires,no
4,1941-07-19,evening,evening,,Argentina,Buenos Aires,no
4,1941-07-20,matinee,matinee,,Argentina,Buenos Aires,no
4,1941-07-20,evening,evening,,Argentina,Buenos Aires,no
4,1941-07-22,evening,evening,subscription,Argentina,Buenos Aires,no
4,1941-07-23,evening,evening,,Argentina,Buenos Aires,no
4,1941-07-24,matinee,matinee,subscription,Argentina,Buenos Aires,no
4,1941-07-24,evening,evening,,Argentina,Buenos Aires,no
4,1941-07-25,evening,evening,,Argentina,Buenos Aires,no
4,1941-07-26,matinee,matinee,,Argentina,Buenos Aires,no
4,1941-07-26,evening,evening,,Argentina,Buenos Aires,no
4,1941-07-27,matinee,matinee,,Argentina,Buenos Aires,no
4,1941-07-27,evening,evening,,Argentina,Buenos Aires,no
4,1941-07-28,evening,evening,,Argentina,Buenos Aires,no
4,1941-07-29,evening,evening,,Argentina,Buenos Aires,no
4,1941-07-30,matinee,matinee,,Argentina,Buenos Aires,no
4,1941-07-30,evening,evening,,Argentina,Buenos Aires,no
5,1941-08-01,,evening,subscription,Uruguay,Montevideo,
5,1941-08-02,,evening,subscription,Uruguay,Montevideo,
5,1941-08-03,matinee,matinee,,Uruguay,Montevideo,
5,1941-08-03,,evening,subscription,Uruguay,Montevideo,
5,1941-08-04,matinee,matinee,,Uruguay,Montevideo,
6,1941-08-06,evening,evening,,Argentina,Rosario,no
6,1941-08-07,evening,evening,,Argentina,Rosario,no
7,1941-08-09,evening,evening,,Argentina,Cordoba,no
7,1941-08-10,evening,evening,,Argentina,Cordoba,no
8,1941-08-12,evening,evening,,Argentina,Mendoza,no
8,1941-08-14,evening,evening,,Argentina,Mendoza,no
8,1941-08-15,evening,evening,,Argentina,Mendoza,no
9,1941-08-19,,evening,subscription,Chile,Santiago de Chile,yes
9,1941-08-20,evening,evening,,Chile,Santiago de Chile,yes
9,1941-08-21,,evening,subscription,Chile,Santiago de Chile,yes
9,1941-08-22,evening,evening,,Chile,Santiago de Chile,yes
9,1941-08-23,,evening,subscription,Chile,Santiago de Chile,yes
9,1941-08-24,matinee,matinee,,Chile,Santiago de Chile,yes
9,1941-08-24,evening,evening,,Chile,Santiago de Chile,yes
9,1941-08-26,,evening,benefit,Chile,Santiago de Chile,yes
9,1941-08-27,evening,evening,,Chile,Santiago de Chile,yes
10,1941-08-28,evening,evening,,Chile,Vina del Mar,yes
11,1941-09-10,,evening,subscription,Peru,Lima,yes
11,1941-09-11,,evening,subscription,Peru,Lima,yes
11,1941-09-12,,evening,subscription,Peru,Lima,yes
11,1941-09-13,,evening,subscription,Peru,Lima,yes
11,1941-09-14,evening,evening,,Peru,Lima,yes
11,1941-09-20,evening,evening,,Peru,Lima,yes
11,1941-09-21,evening,evening,,Peru,Lima,yes
12,1941-09-30,evening,evening,,Colombia,Cali,yes
12,1941-10-01,evening,evening,,Colombia,Cali,yes
13,1941-10-04,evening,evening,,Colombia,Manizales,yes
14,1941-10-07,evening,evening,,Colombia,Medellin,yes
14,1941-10-09,matinee,matinee,,Colombia,Medellin,yes
15,1941-10-14,evening,evening,,Colombia,Bogota,yes
15,1941-10-15,evening,evening,,Colombia,Bogota,yes
15,1941-10-16,evening,evening,,Colombia,Bogota,yes
15,1941-10-17,evening,evening,,Colombia,Bogota,yes
15,1941-10-18,evening,evening,,Colombia,Bogota,yes
15,1941-10-19,matinee,matinee,,Colombia,Bogota,yes
15,1941-10-19,evening,evening,,Colombia,Bogota,yes
15,1941-10-20,evening,evening,,Colombia,Bogota,yes
16,1941-10-31,,evening,subscription,Venezuela,Caracas,yes
16,1941-11-01,,evening,subscription,Venezuela,Caracas,yes
16,1941-11-03,,evening,subscription,Venezuela,Caracas,yes
