Stay,City,Earliest Arrival,Latest Arrival,Earliest Departure,Latest Departure
1,New York City,,1941-05-27,1941-05-29,1941-06-25
2,Rio de Janeiro,1941-05-29,1941-06-25,1941-07-06,1941-07-08
3,Sao Paulo,1941-07-06,1941-07-08,1941-07-11,1941-07-18
17,Santos,1941-07-11,1941-07-18,1941-07-11,1941-07-18
4,Buenos Aires,1941-07-11,1941-07-18,1941-07-30,1941-08-01
5,Montevideo,1941-07-30,1941-08-01,1941-08-04,1941-08-06
18,Buenos Aires,1941-08-04,1941-08-06,1941-08-04,1941-08-06
6,Rosario,1941-08-04,1941-08-06,1941-08-07,1941-08-09
7,Cordoba,1941-08-07,1941-08-09,1941-08-10,1941-08-12
8,Mendoza,1941-08-10,1941-08-12,1941-08-15,1941-08-19
9,Santiago de Chile,1941-08-15,1941-08-19,1941-08-27,1941-08-28
19,Valparaiso,1941-08-27,1941-08-28,1941-08-27,1941-08-28
20,Callao,1941-08-27,1941-08-28,1941-08-27,1941-08-28
10,Vina del Mar,1941-08-27,1941-08-28,1941-08-28,1941-09-10
11,Lima,1941-08-28,1941-09-10,1941-09-21,1941-09-30
21,Callao,1941-09-21,1941-09-30,1941-09-21,1941-09-30
22,Buenaventura,1941-09-21,1941-09-30,1941-09-21,1941-09-30
12,Cali,1941-09-21,1941-09-30,1941-10-01,1941-10-04
23,Cartago,1941-10-01,1941-10-04,1941-10-01,1941-10-04
13,Manizales,1941-10-01,1941-10-04,1941-10-04,1941-10-07
14,Medellin,1941-10-04,1941-10-07,1941-10-09,1941-10-14
15,Bogota,1941-10-09,1941-10-14,1941-10-20,1941-10-31
24,Cucuta,1941-10-20,1941-10-31,1941-10-20,1941-10-31
16,Caracas,1941-10-20,1941-10-31,1941-11-03,
25,La Guaira,1941-11-03,,,
26,New York City,,,,
