Date,Time of Day (given),Time of Day (guessed),Performance Type,Country,City,Latitude,Longitude,Coordinates,Subsidy
1941-05-27,evening,evening,,United States of America,New York City,40.712784,-74.005941,"40.712784,-74.005941",
1941-05-29,evening,evening,,United States of America,New York City,40.712784,-74.005941,"40.712784,-74.005941",
1941-06-25,evening,evening,subscription,Brazil,Rio de Janeiro,-22.906847,-43.172896,"-22.906847,-43.172896",
1941-06-27,evening,evening,subscription,Brazil,Rio de Janeiro,-22.906847,-43.172896,"-22.906847,-43.172896",
1941-06-28,evening,evening,subscription,Brazil,Rio de Janeiro,-22.906847,-43.172896,"-22.906847,-43.172896",
1941-06-29,matinee,matinee,,Brazil,Rio de Janeiro,-22.906847,-43.172896,"-22.906847,-43.172896",
1941-07-01,,evening,subscription,Brazil,Rio de Janeiro,-22.906847,-43.172896,"-22.906847,-43.172896",
1941-07-03,matinee,matinee,,Brazil,Rio de Janeiro,-22.906847,-43.172896,"-22.906847,-43.172896",
1941-07-04,,evening,extra,Brazil,Rio de Janeiro,-22.906847,-43.172896,"-22.906847,-43.172896",
1941-07-05,,evening,extra,Brazil,Rio de Janeiro,-22.906847,-43.172896,"-22.906847,-43.172896",
1941-07-06,matinee,matinee,,Brazil,Rio de Janeiro,-22.906847,-43.172896,"-22.906847,-43.172896",
1941-07-08,,evening,subscription,Brazil,Sao Paulo,-23.55052,-46.633309,"-23.55052,-46.633309",yes
1941-07-09,,evening,subscription,Brazil,Sao Paulo,-23.55052,-46.633309,"-23.55052,-46.633309",yes
1941-07-10,,evening,extra,Brazil,Sao Paulo,-23.55052,-46.633309,"-23.55052,-46.633309",yes
1941-07-11,,evening,subscription,Brazil,Sao Paulo,-23.55052,-46.633309,"-23.55052,-46.633309",yes
1941-07-18,evening,evening,subscription,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-19,matinee,matinee,subscription,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-19,evening,evening,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-20,matinee,matinee,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-20,evening,evening,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-22,evening,evening,subscription,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-23,evening,evening,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-24,matinee,matinee,subscription,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-24,evening,evening,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-25,evening,evening,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-26,matinee,matinee,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-26,evening,evening,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-27,matinee,matinee,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-27,evening,evening,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-28,evening,evening,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-29,evening,evening,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-30,matinee,matinee,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-07-30,evening,evening,,Argentina,Buenos Aires,-34.603684,-58.381559,"-34.603684,-58.381559",no
1941-08-01,,evening,subscription,Uruguay,Montevideo,-34.901113,-56.164531,"-34.901113,-56.164531",
1941-08-02,,evening,subscription,Uruguay,Montevideo,-34.901113,-56.164531,"-34.901113,-56.164531",
1941-08-03,matinee,matinee,,Uruguay,Montevideo,-34.901113,-56.164531,"-34.901113,-56.164531",
1941-08-03,,evening,subscription,Uruguay,Montevideo,-34.901113,-56.164531,"-34.901113,-56.164531",
1941-08-04,matinee,matinee,,Uruguay,Montevideo,-34.901113,-56.164531,"-34.901113,-56.164531",
1941-08-06,evening,evening,,Argentina,Rosario,-32.944243,-60.650539,"-32.944243,-60.650539",no
1941-08-07,evening,evening,,Argentina,Rosario,-32.944243,-60.650539,"-32.944243,-60.650539",no
1941-08-09,evening,evening,,Argentina,Cordoba,-32.889459,-68.845839,"-32.889459,-68.845839",no
1941-08-10,evening,evening,,Argentina,Cordoba,-32.889459,-68.845839,"-32.889459,-68.845839",no
1941-08-12,evening,evening,,Argentina,Mendoza,-32.8908,-68.8272,"-32.8908, -68.8272",no
1941-08-14,evening,evening,,Argentina,Mendoza,-32.8908,-68.8272,"-32.8908, -68.8272",no
1941-08-15,evening,evening,,Argentina,Mendoza,-32.8908,-68.8272,"-32.8908, -68.8272",no
1941-08-19,,evening,subscription,Chile,Santiago de Chile,-33.45,-70.666667,"-33.45,-70.666667",yes
1941-08-20,evening,evening,,Chile,Santiago de Chile,-33.45,-70.666667,"-33.45,-70.666667",yes
1941-08-21,,evening,subscription,Chile,Santiago de Chile,-33.45,-70.666667,"-33.45,-70.666667",yes
1941-08-22,evening,evening,,Chile,Santiago de Chile,-33.45,-70.666667,"-33.45,-70.666667",yes
1941-08-23,,evening,subscription,Chile,Santiago de Chile,-33.45,-70.666667,"-33.45,-70.666667",yes
1941-08-24,matinee,matinee,,Chile,Santiago de Chile,-33.45,-70.666667,"-33.45,-70.666667",yes
1941-08-24,evening,evening,,Chile,Santiago de Chile,-33.45,-70.666667,"-33.45,-70.666667",yes
1941-08-26,,evening,benefit,Chile,Santiago de Chile,-33.45,-70.666667,"-33.45,-70.666667",yes
1941-08-27,evening,evening,,Chile,Santiago de Chile,-33.45,-70.666667,"-33.45,-70.666667",yes
1941-08-28,evening,evening,,Chile,Vina del Mar,-33.015348,-71.550028,"-33.015348,-71.550028",yes
1941-09-10,,evening,subscription,Peru,Lima,-12.046374,-77.042793,"-12.046374,-77.042793",yes
1941-09-11,,evening,subscription,Peru,Lima,-12.046374,-77.042793,"-12.046374,-77.042793",yes
1941-09-12,,evening,subscription,Peru,Lima,-12.046374,-77.042793,"-12.046374,-77.042793",yes
1941-09-13,,evening,subscription,Peru,Lima,-12.046374,-77.042793,"-12.046374,-77.042793",yes
1941-09-14,evening,evening,,Peru,Lima,-12.046374,-77.042793,"-12.046374,-77.042793",yes
1941-09-20,evening,evening,,Peru,Lima,-12.046374,-77.042793,"-12.046374,-77.042793",yes
1941-09-21,evening,evening,,Peru,Lima,-12.046374,-77.042793,"-12.046374,-77.042793",yes
1941-09-30,evening,evening,,Colombia,Cali,3.451647,-76.531985,"3.451647,-76.531985",yes
1941-10-01,evening,evening,,Colombia,Cali,3.451647,-76.531985,"3.451647,-76.531985",yes
1941-10-04,evening,evening,,Colombia,Manizales,5.070275,-75.513817,"5.070275,-75.513817",yes
1941-10-07,evening,evening,,Colombia,Medellin,6.253041,-75.564574,"6.253041,-75.564574",yes
1941-10-09,matinee,matinee,,Colombia,Medellin,6.253041,-75.564574,"6.253041,-75.564574",yes
1941-10-14,evening,evening,,Colombia,Bogota,4.710989,-74.072092,"4.710989,-74.072092",yes
1941-10-15,evening,evening,,Colombia,Bogota,4.710989,-74.072092,"4.710989,-74.072092",yes
1941-10-16,evening,evening,,Colombia,Bogota,4.710989,-74.072092,"4.710989,-74.072092",yes
1941-10-17,evening,evening,,Colombia,Bogota,4.710989,-74.072092,"4.710989,-74.072092",yes
1941-10-18,evening,evening,,Colombia,Bogota,4.710989,-74.072092,"4.710989,-74.072092",yes
1941-10-19,matinee,matinee,,Colombia,Bogota,4.710989,-74.072092,"4.710989,-74.072092",yes
1941-10-19,evening,evening,,Colombia,Bogota,4.710989,-74.072092,"4.710989,-74.072092",yes
1941-10-20,evening,evening,,Colombia,Bogota,4.710989,-74.072092,"4.710989,-74.072092",yes
1941-10-31,,evening,subscription,Venezuela,Caracas,10.46964,-66.803718,"10.46964,-66.803718",yes
1941-11-01,,evening,subscription,Venezuela,Caracas,10.46964,-66.803718,"10.46964,-66.803718",yes
1941-11-03,,evening,subscription,Venezuela,Caracas,10.46964,-66.803718,"10.46964,-66.803718",yes
