id_number,Page-Number,Page-Id,Parent_id,Start-City,Start-State,Start-Country,Start-Mass,Start-Nickname,End-City,End-State,End-Country,End-Mass,End-Nickname,Association-Type,Strength,Use,Comparison
1,3,2683,New York City,New York City,New York,United States,,New York Harbor,New York City,New York,United States,,Times Square,PlaceToPlace,Strong,Y,Positive
2,13,2693,New York City,New York City,New York,United States,,New York Harbor,,,,,Mussolini,Reference,Weak,,Positive
3,13,2693,New York City,New York City,New York,United States,,New York Harbor,,,,,Hitler,Reference,Weak,,
4,13,2693,New York City,New York City,New York,United States,,New York Harbor,,,,,Stalin,Reference,Weak,,Positive
5,10,2690,New York City,New York City,New York,United States,,New York Harbor,,Ohio,United States,,,PersonOrigin,Weak,,
6,18,2698,New York City,New York City,New York,United States,,New York Harbor,,,Germany,,German,PersonOrigin,Weak,,
7,18,2698,New York City,New York City,New York,United States,,New York Harbor,,,Russia,,Russian,PersonOrigin,Weak,,
8,19,2699,New York City,New York City,New York,United States,,New York Harbor,,,United States,New England,New England,PersonTravel,Weak,,
9,22,2702,New York City,New York City,New York,United States,,New York Harbor,,,,South America,,PersonTravel,Weak,,
10,22,2702,New York City,New York City,New York,United States,,New York Harbor,,,Russia,,Soviet,PersonOrigin,Weak,,
11,36,2716,North Atlantic Ocean,,,,North Atlantic Ocean,Ship 7 days out 12 to go,,,Germany,,German,Reference,Strong,Y,Positive
12,38,2718,North Atlantic Ocean,,,,North Atlantic Ocean,,,,Mexico,,Mexican,PersonOrigin,Weak,,
13,55,2735,Bridgetown,Bridgetown,,Barbados,,,,,,Africa,,PlaceToPlace,Strong,Y,Positive
14,57,2737,Bridgetown,Bridgetown,,Barbados,,,,,England,,,Reference,Weak,,
15,60,2740,Bridgetown,Bridgetown,,Barbados,,,,,France,,French,PersonMetOrigin,Weak,Y,
16,61,2741,Bridgetown,Bridgetown,,Barbados,,,London,,England,,,PersonTravel,Weak,,
17,61,2741,Bridgetown,Bridgetown,,Barbados,,,Venice,,Italy,,,PersonTravel,Weak,,
18,64,2744,Bridgetown,Bridgetown,,Barbados,,,New York City,New York,United States,,,PlaceToPlace,Strong,Y,Positive
19,64,2744,Bridgetown,Bridgetown,,Barbados,,,New York City,New York,United States,,,PlaceToPlace,Strong,Y,Negative
20,64,2744,Bridgetown,Bridgetown,,Barbados,,,,,England,,English Refugees,PersonMetOrigin,Weak,Y,
21,69,2749,Rio de Janeiro,Rio de Janeiro,,Brazil,,,,,Argentina,,Argentine,PersonMetOrigin,Weak,Y,
