City,Country,Latitude,Longitude
New York City,United States of America,40.712784,-74.005941
Rio de Janeiro,Brazil,-22.906847,-43.172896
Sao Paulo,Brazil,-23.55052,-46.633309
Santos,Brazil,-23.967882,-46.328887
Buenos Aires,Argentina,-34.603684,-58.381559
Montevideo,Uruguay,-34.901113,-56.164531
Buenos Aires,Argentina,-34.603684,-58.381559
Rosario,Argentina,-32.944243,-60.650539
Cordoba,Argentina,-32.889459,-68.845839
Mendoza,Argentina,-32.8908,-68.8272
Santiago de Chile,Chile,-33.45,-70.666667
Valparaiso,Chile,-33.047238,-71.612688
Callao,Peru,-12.050849,-77.125984
Lima,Peru,-12.046374,-77.042793
Callao,Peru,-12.050849,-77.125984
Buenaventura,Colombia,3.883047,-77.019721
Cali,Colombia,3.451647,-76.531985
Cartago,Colombia,4.747221,-75.911629
Manizales,Colombia,5.070275,-75.513817
Medellin,Colombia,6.253041,-75.564574
Bogota,Colombia,4.710989,-74.072092
Cucuta,Colombia,7.889097,-72.49669
Caracas,Venezuela,10.46964,-66.803718
La Guaira,Venezuela,10.6,-66.933056
Vina del Mar,Chile,-33.015348,-71.550028
