City,State,Country,LatLong,Latitude,Longitude
Havana,,Cuba,"[23.159167,-82.271056]",23.159167,-82.271056
New York City,NY,United States of America,"[40.712784,-74.005941]",40.712784,-74.005941
Brooklyn,NY,United States of America,"[40.678178,-73.944158]",40.678178,-73.944158
St Petersburg,,Russia,"[59.93428,30.335099]",59.93428,30.335099
Canton,OH,United States of America,"[40.798947,-81.378447]",40.798947,-81.378447
San Diego,CA,United States of America,"[32.715738,-117.161084]",32.715738,-117.161084
Brigham City,UT,United States of America,"[41.510213,-112.015502]",41.510213,-112.015502
Schenectady,NY,United States of America,"[42.814243,-73.939569]",42.814243,-73.939569
St Louis,MO,United States of America,"[38.627003,-90.199404]",38.627003,-90.199404
Freinwalde,,Germany,"[52.78434,14.03092]",52.78434,14.03092
Bellwood,PA,United States of America,"[40.602401,-78.334438]",40.602401,-78.334438
East St Louis,IL,United States of America,"[38.624514,-90.150646]",38.624514,-90.150646
Atlantic City,NJ,United States of America,"[39.364283,-74.422927]",39.364283,-74.422927
Melrose,MA,United States of America,"[42.458429,-71.066163]",42.458429,-71.066163
Philadelphia,PA,United States of America,"[39.952584,-75.165222]",39.952584,-75.165222
London,,England,"[51.507351,-0.127758]",51.507351,-0.127758
Hartford,CT,United States of America,"[41.763711,-72.685093]",41.763711,-72.685093
Rochester,NY,United States of America,"[43.16103,-77.610922]",43.16103,-77.610922
Berwyn,IL,United States of America,"[41.850587,-87.793668]",41.850587,-87.793668
Toronto,,Canada,"[43.653226,-79.383184]",43.653226,-79.383184
Torreon,,Mexico,"[25.542844,-103.406786]",25.542844,-103.406786
Camargo,,Mexico,"[27.676379,-105.166953]",27.676379,-105.166953
Linares,,Mexico,"[24.863949,-99.561785]",24.863949,-99.561785
Petrograd,,Russia,"[60.076238,30.121383]",60.076238,30.121383
Minneapolis,MN,United States of America,"[44.977753,-93.265011]",44.977753,-93.265011
Goldsboro,NC,United States of America,"[35.384884,-77.992765]",35.384884,-77.992765
Seattle,WA,United States of America,"[47.60621,-122.332071]",47.60621,-122.332071
Melbourne,,Australia,"[-37.814107,144.96328]",-37.814107,144.96328
Wilkesbarre,PA,United States of America,"[41.245915,-75.881307]",41.245915,-75.881307
Antlers,OK,United States of America,"[34.231212,-95.620248]",34.231212,-95.620248
Mannheim,,Germany,"[49.487459,8.466039]",49.487459,8.466039
Hoboken,NJ,United States of America,"[40.743991,-74.032363]",40.743991,-74.032363
Stamford,CT,United States of America,"[41.05343,-73.538734]",41.05343,-73.538734
Pittsburgh,PA,United States of America,"[40.440625,-79.995886]",40.440625,-79.995886
Provo,UT,United States of America,"[40.233844,-111.658534]",40.233844,-111.658534
