Confirmed,Stage Last Name,First Names,Alias,Role,Birth City,Birth State,Birth Country,US Citizen,Citizenship,Ballet Caravan,Ballet Theatre,Other Companies
,Alonso,Fernando,,Dancer,Havana,,Cuba,N,Cuba,y,y,
,Alonso,Alicia M,,Dancer,Havana,,Cuba,N,Cuba,y,y,
,Avray,Robert,,Technical,New York,NY,USA,Y,USA,,,
y,Balaban,Emmanuel,,Conductor,Brooklyn,NY,USA,Y,USA,,,
y,Balanchine,George,,Artistic Collaborator,St Petersburg,,Russia,Y,USA,,,
y,Bolender,Todd,,Dancer,Canton,OH,USA,Y,USA,y,,Philadelphia Ballet
y,Caccialanza,Gisella,Mrs. Christensen,Dancer,San Diego,CA,USA,Y,USA,y,,San Francisco Ballet
y,Christensen,Lew,,Dancer,Brigham City,UT,USA,Y,USA,y,,San Francisco Ballet
y,Colbath,Mary,,Dancer,Schenectady,NY,USA,Y,USA,y,,
y,Corsa,Preston Jerome,,Singer,New York,NY,USA,,USA,,,
y,Coudy,Douglas,Virgil Douglas,Assistant Stage and Properties,St Louis,MO,USA,Y,USA,,,
y,Danieli,Fred,Alfredo,Dancer,New York,NY,USA,Y,USA,y,y,
y,De Kova,Margit,Lilli Margit Stuhlmann,Dancer,Freinwalde,,Germany,N,stateless,y,,
y,Dickinson,Charles,,Dancer,Bellwood,PA,USA,Y,USA,,y,Monte Carlo
y,Dollar,William,,Dancer,East St Louis,IL,USA,Y,USA,y,y,
y,Doyle,James E,,Singer,New York,NY,USA,Y,USA,,,
y,Dunphy,John Paul,,Dancer,Atlantic City,NJ,USA,Y,USA,y,,Philadelphia Ballet
y,Gilmore,Betty,Marion,Dancer,Melrose,MA,USA,Y,USA,,y,
y,Golden,Miriam,Goldstein,Dancer,Philadelphia,PA,USA,Y,USA,,y,Philadelphia Ballet
y,Graham,June H,,Dancer,Philadelphia,PA,USA,Y,USA,,,Philadelphia Ballet
y,Heath,Mary,Babs,Dancer,London,,England,N,Canada,y,,
,Johnson,Joseph,,Dancer,Philadelphia,PA,USA,Y,USA,,,Philadelphia Ballet
y,Kahrklin,Hortense,Milda Kahrklinsch,Dancer,Philadelphia,PA,USA,Y,USA,,,Radio City Music Hall
y,Karniloff,Marie,Maria Dochalonag,Dancer,Hartford,CT,USA,Y,USA,,y,
y,Kirstein,Lincoln E,,Director,Rochester,NY,USA,Y,USA,,,
,Kirstein,Fidelma Cadmus,,Wife of Director,New York,NY,USA,Y,USA,,,
y,Kriza,John J,,Dancer,Berwyn,IL,USA,Y,USA,y,,Ruth Page
y,Levine,Doris R,Doris L Fish,Executive Secretary,New York,NY,USA,Y,USA,,,
y,London,Lorna,,Dancer,Toronto,,Canada,Y,USA,y,,
y,Lujan,James ,James Graham,Advance Man,Torreon,,Mexico,N,Mexico,,,
y,Magallanes,Nicholas,Ignacio Nicholas,Dancer,Camargo,,Mexico,N,Mexico,y,,Philadelphia Ballet
y,Martinez,Jose,,Assistant Stage Manager,Linares,,Mexico,N,Mexico,,,
y,Mironova,Eudokia,Miranowa,Wardrobe Mistress,Petrograd,,Russia,Y,USA,,,
y,Moore,Marjorie,Mumson,Dancer,Minneapolis,MN,USA,Y,USA,y,y,Carmelita Maracci
y,Nillo,David,Feinstein,Dancer,Goldsboro,NC,USA,Y,USA,,y,Kurt Graff Ballet
y,Noonan,Peggy,,Dancer,Seattle,WA,USA,Y,USA,,,
y,Patterson,Yvonne,,Dancer,Melbourne,,Australia,Y,USA,,,Radio City Music Hall
y,Pelus,Marie-Jeanne,Marie Jeanne,Dancer,New York,NY,USA,Y,USA,y,,
y,Quarequio,Maria,,Dancer,Wilkesbarre,PA,USA,Y,USA,y,,
y,Rice,Newcomb,,Dancer,Antlers,OK,USA,Y,USA,y,y,
y,Rittmann,Trude,,Pianist,Mannheim,,Germany,N,stateless,,,
y,Sadoff,Simon,,Pianist,Hoboken,NJ,USA,Y,USA,,,
y,Shea,Mary Jane,,Dancer,Canton,OH,USA,Y,USA,y,,
y,Solov,Zachary Carl,,Dancer,Philadelphia,PA,USA,Y,USA,,,Philadelphia Ballet
y,Suarez ,Olga,,Dancer,New York,NY,USA,Y,USA,,y,
y,Taras,John,,Dancer,New York,NY,USA,Y,USA,y,,Philadelphia Ballet
y,Tompkins,Beatrice,,Dancer,New York,NY,USA,Y,USA,y,,
y,Varricchio,Adelaide,Adeline,Dancer,Stamford,CT,USA,Y,USA,y,,
y,Wagner,Hilda,Hildegarde Hanas,Dancer,Pittsburgh,PA,USA,Y,USA,y,,Radio City Music Hall
y,Wynn,Billie,,Dancer,Provo,UT,USA,Y,USA,y,,
,Suarez,Mrs.,,Chaperone,,,Cuba,N,Cuba,,,
